model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
maxpool_prior_6ZMVFL.pt,28,180,180,3,1,0.3772303399999999
maxpool_prior_6NAHZ2.pt,28,68,68,3,2,0.28403336
maxpool_prior_FGBU5W.pt,56,136,136,3,2,1.4327661999999999
maxpool_prior_0XX73A.pt,14,53,53,3,1,0.16443696
maxpool_prior_X3W0AR.pt,14,383,383,3,2,0.23564374000000005
maxpool_prior_F4J86R.pt,224,501,501,3,2,20.293379979999994
maxpool_prior_2ERK4G.pt,112,242,242,3,2,2.23375066
maxpool_prior_38RMBH.pt,224,501,501,3,2,20.097588740000006
maxpool_prior_ZMBZIR.pt,28,130,130,2,2,0.21806556000000007
maxpool_prior_FSDYTY.pt,28,507,507,2,2,1.14093934
maxpool_prior_OQA8VW.pt,14,513,513,2,2,0.19425044
maxpool_prior_TF4F97.pt,14,494,494,3,2,0.3420233999999999
maxpool_prior_PPJNUX.pt,28,73,73,3,1,0.8975429999999999
maxpool_prior_96M71X.pt,14,236,236,2,2,0.13444948
maxpool_prior_RBQC4F.pt,28,480,480,2,2,1.3296918400000002
maxpool_prior_Y9UXS2.pt,14,60,60,3,1,0.14980713999999998
maxpool_prior_DEULST.pt,28,507,507,2,2,1.2707797600000001
maxpool_prior_35CCT8.pt,56,183,183,3,2,1.3423613999999995
maxpool_prior_SCQIAT.pt,112,128,128,2,2,2.5121850799999996
maxpool_prior_6Q2TOB.pt,224,71,71,2,2,1.94357986
maxpool_prior_3Y1DKN.pt,14,522,522,2,2,0.2533506800000001
maxpool_prior_UUPTU7.pt,28,201,201,3,2,0.50756254
maxpool_prior_4ZP7UH.pt,14,480,480,2,2,0.20823946000000004
maxpool_prior_HR4ESL.pt,112,61,61,3,2,1.4701802800000001
maxpool_prior_HDLRGF.pt,56,54,54,2,2,0.38967608000000015
maxpool_prior_E781WI.pt,224,36,36,3,1,5.550806240000001
maxpool_prior_CHYYUH.pt,112,362,362,2,2,2.1711007799999993
maxpool_prior_Q93DRR.pt,112,61,61,3,1,1.9132451000000001
maxpool_prior_KUBMDV.pt,112,235,235,2,2,2.4117192800000002
maxpool_prior_Y8J5TN.pt,28,62,62,2,2,0.18339892
maxpool_prior_336D11.pt,14,65,65,2,2,0.11459715999999996
maxpool_prior_FWVOEJ.pt,14,46,46,3,2,0.10672433999999996
maxpool_prior_LCZBUQ.pt,224,236,236,2,2,5.8705536600000015
maxpool_prior_HINX82.pt,28,486,486,3,2,1.2713833600000002
maxpool_prior_LO1TVC.pt,14,58,58,3,1,0.17593738000000003
maxpool_prior_ZH9KR3.pt,112,61,61,2,1,1.4156705200000004
maxpool_prior_GGN1G0.pt,112,130,130,3,2,1.4503267199999998
maxpool_prior_KHL2C0.pt,28,507,507,3,2,1.30866602
maxpool_prior_0IGJV6.pt,14,474,474,3,2,0.2870127
maxpool_prior_MYBAL3.pt,112,180,180,2,2,1.8976042600000005
maxpool_prior_AC4EFF.pt,14,499,499,3,2,0.33716376000000003
maxpool_prior_BWUMWQ.pt,112,129,129,2,2,1.2153648000000001
maxpool_prior_22C53S.pt,14,502,502,3,2,0.31554669999999985
maxpool_prior_SDI068.pt,14,62,62,2,1,0.13247896
maxpool_prior_CLTA20.pt,56,251,251,3,2,1.1628216999999998
