model_path,HW,CIN,latency
channelshuffle_prior_Z8386A.pt,7,584,0.013822920000000002
channelshuffle_prior_W9G17R.pt,14,204,0.09339434
channelshuffle_prior_XYYHGT.pt,28,490,0.19750228
channelshuffle_prior_DFO782.pt,112,8,0.1158557
channelshuffle_prior_QVXPUQ.pt,56,58,0.14364052000000005
channelshuffle_prior_1RU05O.pt,28,116,0.10333392000000002
channelshuffle_prior_MRO5JH.pt,56,114,0.16372838
channelshuffle_prior_POFOLP.pt,56,16,0.09681790000000003
channelshuffle_prior_7KSKII.pt,7,506,0.01260002
channelshuffle_prior_5I8RSP.pt,14,250,0.12199017999999999
channelshuffle_prior_WPO7S1.pt,28,104,0.10215802000000006
channelshuffle_prior_KNHRJ9.pt,1,122,0.0062972
channelshuffle_prior_TELE1O.pt,56,536,0.21154726000000004
channelshuffle_prior_USM0T7.pt,56,210,0.19025382000000002
channelshuffle_prior_B940MT.pt,28,98,0.11868649999999999
channelshuffle_prior_QXPFAM.pt,14,30,0.007052999999999999
channelshuffle_prior_OSO9PS.pt,56,506,0.28743408000000004
channelshuffle_prior_IFVV0J.pt,14,2024,0.15873986
channelshuffle_prior_WBERP8.pt,28,522,0.15158921999999997
channelshuffle_prior_LG8R7Q.pt,56,36,0.10486612000000001
channelshuffle_prior_GUO9IE.pt,7,446,0.009344299999999998
channelshuffle_prior_LS6HOQ.pt,7,100,0.006826360000000001
channelshuffle_prior_4841A6.pt,14,272,0.11425313999999999
channelshuffle_prior_NNYGHW.pt,14,76,0.010014639999999998
channelshuffle_prior_GM5AR2.pt,56,232,0.23202631999999998
channelshuffle_prior_9H52PJ.pt,14,942,0.13935688000000007
channelshuffle_prior_TURH94.pt,14,804,0.14273194
channelshuffle_prior_JCRJKM.pt,56,100,0.12999232
channelshuffle_prior_6N5FYV.pt,14,186,0.10706223999999999
channelshuffle_prior_ZHJIGO.pt,14,432,0.12046004000000002
channelshuffle_prior_7RHVYD.pt,112,138,0.37735690000000005
channelshuffle_prior_51349O.pt,28,174,0.10804034
channelshuffle_prior_YZ6LAP.pt,112,4,0.10152446
channelshuffle_prior_PM6GS0.pt,56,330,0.23853445999999995
channelshuffle_prior_J09X59.pt,14,70,0.00951186
channelshuffle_prior_9EHE5F.pt,28,74,0.11793243999999996
