model_path,HW,CIN1,CIN2,CIN3,CIN4,latency
concat_prior_VVAZPF.pt,28,50,76,0,0,0.02587386
concat_prior_1G609C.pt,7,661,479,0,0,0.01198776
concat_prior_QP6UE8.pt,7,2029,238,538,2012,0.17731733999999996
concat_prior_ET0NSP.pt,56,1953,177,150,840,3.08546568
concat_prior_WYBZVJ.pt,28,43,441,155,0,0.2588963599999999
concat_prior_ZPHD4I.pt,7,500,11,0,0,0.004541300000000001
concat_prior_MOOJ5O.pt,28,261,525,115,0,0.3887847399999999
concat_prior_MTHBTN.pt,14,32,203,56,497,0.2121686
concat_prior_7DSFVN.pt,14,162,91,0,0,0.010648040000000001
concat_prior_0QM0EI.pt,14,142,66,394,529,0.20373897999999996
concat_prior_RN3S95.pt,7,220,179,233,0,0.00505682
concat_prior_FXTJ34.pt,56,518,1021,1169,767,3.52986736
concat_prior_A2O6I0.pt,56,256,83,0,0,0.4127511999999999
concat_prior_UWL0N3.pt,28,151,125,204,0,0.25890237999999993
concat_prior_LHZ1P3.pt,14,123,834,45,0,0.13889488000000003
concat_prior_IF5SW6.pt,14,119,48,183,0,0.13187468
concat_prior_QKTJD9.pt,28,520,104,0,0,0.20913106000000004
concat_prior_R30ZLC.pt,56,86,184,145,0,0.35024031999999994
concat_prior_MZW267.pt,7,84,190,836,130,0.1401907
concat_prior_0M7MP1.pt,28,393,192,0,0,0.18778754000000006
concat_prior_WJ7IP3.pt,7,534,440,958,139,0.15573430000000005
concat_prior_EZNY3B.pt,14,468,150,0,0,0.10291388000000003
concat_prior_VMYFQP.pt,7,462,80,99,1000,0.1380254
concat_prior_X7V10H.pt,28,119,13,0,0,0.1378001
concat_prior_WCWF6P.pt,7,11,119,788,0,0.11560467999999996
concat_prior_3H6KCC.pt,14,993,122,11,946,0.19090582
concat_prior_82FV42.pt,28,510,398,396,538,0.27078842
concat_prior_HSHWMZ.pt,14,157,248,949,0,0.15549714
concat_prior_A1YNM6.pt,28,248,253,84,202,0.27207774
concat_prior_RYST9P.pt,14,87,521,78,233,0.1636744
concat_prior_N227P6.pt,28,150,114,0,0,0.1788204
concat_prior_UYRQL4.pt,7,700,108,958,0,0.18407642
concat_prior_6IJF0V.pt,28,1069,230,0,0,0.38899880000000003
concat_prior_8OIG7G.pt,7,702,168,240,231,0.14865044000000002
concat_prior_ZJ1P7O.pt,14,41,79,141,21,0.012639160000000003
concat_prior_Y6ROBZ.pt,7,253,204,0,0,0.00581634
concat_prior_5I1RJD.pt,7,161,260,0,0,0.01559982
concat_prior_ZXXFGQ.pt,28,119,431,0,0,0.2529976400000001
concat_prior_D0WKP6.pt,14,484,432,34,423,0.2185363
concat_prior_0DHI1S.pt,7,3,450,172,54,0.013372980000000003
concat_prior_13EIMC.pt,56,22,11,129,249,0.44263695999999997
concat_prior_BSRXU5.pt,28,694,836,201,0,0.3012932199999999
concat_prior_V5CDRF.pt,14,119,410,0,0,0.1195809
concat_prior_4URCX5.pt,56,487,520,116,174,1.01215306
concat_prior_WL1BJW.pt,7,166,1234,144,114,0.14884461999999998
concat_prior_A9IRS9.pt,7,243,153,158,60,0.005081760000000001
concat_prior_XTJ9QU.pt,14,91,90,175,468,0.1784482199999999
concat_prior_TF1PRG.pt,14,46,514,0,0,0.11852502000000004
concat_prior_FJ03PI.pt,14,211,12,526,65,0.20115331999999989
concat_prior_Z0IFK5.pt,28,46,159,0,0,0.18922924
concat_prior_ZQ1PYD.pt,14,700,534,0,0,0.035724200000000005
concat_prior_MDFP97.pt,7,103,174,0,0,0.007212539999999998
concat_prior_HJXRD9.pt,28,443,105,54,322,0.16739306000000007
concat_prior_8AW2Y1.pt,28,212,470,0,0,0.19049618000000007
concat_prior_Q2J3MC.pt,28,481,295,990,0,0.23089331999999993
concat_prior_3BMGNQ.pt,14,949,323,0,0,0.25133702
concat_prior_7SOQU9.pt,7,186,168,488,506,0.12822096000000005
concat_prior_MWCD6Z.pt,56,71,527,0,0,0.3062577799999999
concat_prior_UTZK0E.pt,14,34,865,179,0,0.17499763999999998
concat_prior_0YS3P5.pt,28,173,183,181,0,0.28817050000000005
concat_prior_IWVMUC.pt,56,501,513,0,0,0.7412738999999998
concat_prior_HHC2C1.pt,7,225,31,0,0,0.00382714
concat_prior_3H239P.pt,14,587,52,283,213,0.2995336799999999
concat_prior_DL80JQ.pt,14,214,295,420,0,0.25840704
