model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_prior_0UVA8C.pt,1,3,103,1,2,0.000103,0.000412,0.03191762
conv-bn-relu_prior_O9TH52.pt,1,11,40,1,1,0.00048,0.00048,0.023547020000000002
conv-bn-relu_prior_YAP7K6.pt,1,4,141,1,1,0.000705,0.000705,0.023825220000000008
conv-bn-relu_prior_ZEX341.pt,3,68,9,1,2,0.00139725,0.000621,0.024144020000000002
conv-bn-relu_prior_YD2935.pt,1,9,210,1,1,0.0021,0.0021,0.023726059999999997
conv-bn-relu_prior_16Q581.pt,1,91,26,1,1,0.002392,0.002392,0.02440676
conv-bn-relu_prior_5FQX30.pt,1,21,495,1,2,0.0027225,0.01089,0.02378192000000001
conv-bn-relu_prior_9M4XDG.pt,1,205,14,1,1,0.002884,0.002884,0.024382979999999995
conv-bn-relu_prior_XAYRBW.pt,1,143,33,1,1,0.004752,0.004752,0.02449008
conv-bn-relu_prior_U2LFIE.pt,3,447,5,1,2,0.00504,0.00224,0.024204580000000003
conv-bn-relu_prior_7JB5UC.pt,1,69,72,1,1,0.00504,0.00504,0.024239560000000004
conv-bn-relu_prior_CZ9AB2.pt,1,420,12,1,1,0.005052,0.005052,0.024077100000000004
conv-bn-relu_prior_NJGDMF.pt,1,493,41,1,2,0.0050635,0.020254,0.03155848
conv-bn-relu_prior_O5BN5R.pt,8,3,91,1,2,0.005824,0.000364,0.023671960000000006
conv-bn-relu_prior_9CKRMW.pt,3,10,60,1,1,0.00594,0.00066,0.023766620000000002
conv-bn-relu_prior_58T7EW.pt,8,7,13,1,1,0.006656,0.000104,0.023652740000000002
conv-bn-relu_prior_P4NV2K.pt,1,14,79,5,2,0.00693225,0.027729,0.024206860000000004
conv-bn-relu_prior_WELM1J.pt,3,19,205,1,2,0.009225,0.0041,0.02438429999999999
conv-bn-relu_prior_18KYS4.pt,1,192,50,1,1,0.00965,0.00965,0.023930479999999997
conv-bn-relu_prior_2IXI1J.pt,8,27,6,1,1,0.010752,0.000168,0.024582720000000006
conv-bn-relu_prior_2ZZRR4.pt,1,34,320,1,1,0.0112,0.0112,0.023788679999999996
conv-bn-relu_prior_FYEXSQ.pt,1,95,121,1,1,0.011616,0.011616,0.024047579999999992
conv-bn-relu_prior_CA414N.pt,8,58,13,1,2,0.012272,0.000767,0.023801580000000003
conv-bn-relu_prior_VZ0W8I.pt,3,12,105,1,1,0.012285,0.001365,0.024528779999999993
conv-bn-relu_prior_BI7SPB.pt,3,202,27,1,2,0.01233225,0.005481,0.02438404
conv-bn-relu_prior_RSTB6P.pt,1,496,27,1,1,0.013419,0.013419,0.024122499999999998
conv-bn-relu_prior_WNEGAK.pt,1,475,115,1,2,0.013685,0.05474,0.031478139999999995
conv-bn-relu_prior_73TUU2.pt,14,7,9,1,1,0.014112,7.2e-05,0.02424788
conv-bn-relu_prior_R7VD08.pt,3,10,154,1,1,0.015246,0.001694,0.024444619999999997
conv-bn-relu_prior_ANRU8R.pt,7,28,11,1,1,0.015631,0.000319,0.02414758
conv-bn-relu_prior_L85GAE.pt,3,217,8,1,1,0.015696,0.001744,0.02607190000000001
conv-bn-relu_prior_ZPVK8D.pt,14,8,10,1,1,0.01764,9e-05,0.02431806
conv-bn-relu_prior_8OJZSH.pt,8,9,116,1,2,0.01856,0.00116,0.023915199999999998
conv-bn-relu_prior_PKKSGW.pt,27,6,4,1,1,0.020412,2.8e-05,0.02429676
conv-bn-relu_prior_QD62YG.pt,3,43,53,1,1,0.020988,0.002332,0.024756660000000003
conv-bn-relu_prior_T0O3Y0.pt,14,12,33,1,2,0.021021,0.000429,0.024280619999999996
conv-bn-relu_prior_HTEMBT.pt,1,682,31,1,1,0.021173,0.021173,0.025683820000000007
conv-bn-relu_prior_4247GY.pt,8,55,6,1,1,0.021504,0.000336,0.02403045999999999
conv-bn-relu_prior_ZBSON5.pt,13,21,6,1,1,0.022308,0.000132,0.024239579999999997
conv-bn-relu_prior_LHJGDK.pt,1,41,22,5,1,0.022572,0.022572,0.031977059999999995
conv-bn-relu_prior_Q34G47.pt,7,231,8,1,2,0.022736,0.001856,0.031140599999999997
conv-bn-relu_prior_QHFQ1B.pt,7,109,17,1,2,0.0229075,0.00187,0.03939452000000001
conv-bn-relu_prior_O4PEWY.pt,1,141,162,1,1,0.023004,0.023004,0.023878240000000005
conv-bn-relu_prior_FU4489.pt,3,128,20,1,1,0.02322,0.00258,0.02447564
conv-bn-relu_prior_8GGDBT.pt,3,26,4,5,1,0.023436,0.002604,0.02312813999999999
conv-bn-relu_prior_AZ4445.pt,8,39,38,1,2,0.02432,0.00152,0.023928399999999996
conv-bn-relu_prior_GXL55N.pt,3,105,26,1,1,0.024804,0.002756,0.024872660000000008
conv-bn-relu_prior_CJZE7F.pt,7,50,10,1,1,0.02499,0.00051,0.024277539999999993
conv-bn-relu_prior_IMJEE0.pt,3,515,22,1,2,0.025542,0.011352,0.023660560000000004
conv-bn-relu_prior_W7FS8T.pt,1,13,217,3,1,0.025606,0.025606,0.02350866
conv-bn-relu_prior_DOJA6H.pt,7,112,20,1,2,0.027685,0.00226,0.029383959999999997
conv-bn-relu_prior_1FLEGW.pt,1,211,131,1,1,0.027772,0.027772,0.023496000000000003
conv-bn-relu_prior_QZOSF9.pt,8,8,194,1,2,0.027936,0.001746,0.02386576
conv-bn-relu_prior_B1ADDQ.pt,7,40,14,1,1,0.028126,0.000574,0.0247005
conv-bn-relu_prior_AUQ2BX.pt,8,19,92,1,2,0.02944,0.00184,0.024257340000000002
conv-bn-relu_prior_XTYIIS.pt,8,13,33,1,1,0.029568,0.000462,0.024078060000000002
conv-bn-relu_prior_39HC1C.pt,7,19,34,1,1,0.03332,0.00068,0.02383378000000001
conv-bn-relu_prior_VZD7IO.pt,3,34,106,1,1,0.03339,0.00371,0.02439057999999999
conv-bn-relu_prior_ZACVUJ.pt,1,3,231,7,1,0.034188,0.034188,0.02345761999999999
conv-bn-relu_prior_TCUAZM.pt,8,82,7,1,1,0.037184,0.000581,0.024194660000000003
conv-bn-relu_prior_15RG74.pt,3,92,5,3,1,0.037305,0.004145,0.032625100000000004
conv-bn-relu_prior_W8VYXQ.pt,1,208,80,3,2,0.03746,0.14984,0.028822680000000007
conv-bn-relu_prior_X2J7NR.pt,1,239,70,3,2,0.03766,0.15064,0.03283022
conv-bn-relu_prior_1L8AGA.pt,7,45,67,1,2,0.0377545,0.003082,0.03259307999999999
conv-bn-relu_prior_O6O4KA.pt,14,11,18,1,1,0.042336,0.000216,0.023794720000000002
conv-bn-relu_prior_OX89CW.pt,3,133,16,3,2,0.043128,0.019168,0.029669099999999986
conv-bn-relu_prior_NPWXSH.pt,8,33,89,1,2,0.048416,0.003026,0.02417634
conv-bn-relu_prior_0LXPVA.pt,3,175,31,1,1,0.049104,0.005456,0.024467
conv-bn-relu_prior_0CID04.pt,8,41,75,1,2,0.0504,0.00315,0.02388472
conv-bn-relu_prior_ZVP0FE.pt,3,89,29,3,2,0.0523305,0.023258,0.03348272000000001
conv-bn-relu_prior_XWBO61.pt,3,456,52,1,2,0.053469,0.023764,0.023944939999999998
conv-bn-relu_prior_GSG7PN.pt,14,6,39,1,1,0.053508,0.000273,0.023958339999999998
conv-bn-relu_prior_W5SNFT.pt,3,157,151,1,2,0.0536805,0.023858,0.023613479999999996
conv-bn-relu_prior_14HTMM.pt,14,73,15,1,2,0.05439,0.00111,0.023726059999999997
conv-bn-relu_prior_IWQ295.pt,1,34,180,3,1,0.05526,0.05526,0.029227540000000007
conv-bn-relu_prior_OPO6PN.pt,8,25,133,1,2,0.055328,0.003458,0.02383684
conv-bn-relu_prior_H9VXTV.pt,13,42,31,1,2,0.05631925,0.001333,0.03321808
conv-bn-relu_prior_CIJLAR.pt,14,3,72,1,1,0.056448,0.000288,0.02387028
conv-bn-relu_prior_KV2G8P.pt,3,12,43,7,2,0.05698575,0.025327,0.028809199999999993
conv-bn-relu_prior_SRZ6FG.pt,14,13,22,1,1,0.060368,0.000308,0.02391962000000001
conv-bn-relu_prior_VMSKHV.pt,14,61,5,1,1,0.06076,0.00031,0.024658540000000007
conv-bn-relu_prior_7EAOQ9.pt,7,13,90,1,1,0.06174,0.00126,0.024483400000000002
conv-bn-relu_prior_XMRWYP.pt,8,53,18,1,1,0.062208,0.000972,0.02484158000000001
conv-bn-relu_prior_IGP783.pt,7,74,17,1,1,0.062475,0.001275,0.02469392
conv-bn-relu_prior_BBHYV4.pt,1,13,98,7,1,0.062524,0.062524,0.023427639999999993
conv-bn-relu_prior_F5SY5N.pt,13,16,22,1,1,0.063206,0.000374,0.024387480000000003
conv-bn-relu_prior_SWX8KL.pt,7,188,7,1,1,0.064827,0.001323,0.02586604
conv-bn-relu_prior_6BQQO6.pt,3,56,127,1,1,0.065151,0.007239,0.02461268
conv-bn-relu_prior_2FWXNC.pt,3,139,52,1,1,0.06552,0.00728,0.024281860000000006
conv-bn-relu_prior_IJA4RK.pt,13,57,7,1,1,0.068614,0.000406,0.024442059999999995
conv-bn-relu_prior_AVD90H.pt,7,141,10,1,1,0.06958,0.00142,0.024346980000000008
conv-bn-relu_prior_S96QO4.pt,3,126,62,1,1,0.070866,0.007874,0.02454086
conv-bn-relu_prior_3DF3AI.pt,14,12,113,1,2,0.071981,0.001469,0.023721379999999993
